ПРЕСКЕВЮ́;Состояние, когда не можешь вспомнить знакомое слово, которое вертится на языке.;Чувства;79;
ИНДУЛЬГЕ́НЦИЯ;Oтпущение грехов, у католиков.;Религия;30;
ДЕМАГО́ГИЯ;Основанное на намеренном извращении факто ввоздействие на чувства, инстинкты малосознательной части масс.;Философия;105;
КОРИФЕ́Й;Выдающийся деятель на каком-нибудь поприще.;Человек;43;
ДЕ-Ю́РЕ;Юридически, формально, а не только фактически (в отличие от де-факто).;Общая категория;70;
ДЖИ́Н;Английская можжевеловая водка.;Общая категория;30;
БОКЕ́ТТО;Акт бессмысленного и продолжительного смотрения вдаль.;Общая категория;54;
ПОНЕ́ВА;Домотканая шерстяная юбка у южновеликорусских крестьянок.;Человек;57;
ФОЛИА́НТ;Толстая книга большого формата (обычно старинная).;Образование;50;
ДИЭЛЕ́КТРИК;Вещество, плохо проводящее электрический ток, непроводник.;Образование;58;
БРЕ́ННЫЙ;Тленный, преходящий.;Общая категория;20;
БРЕ́ДЕНЬ;Небольшой невод, которым ловят рыбу вдвоем, идя бродом.;Общая категория;55;
БОГЕ́МА;Необеспеченные представители интеллигенции, ведущие беспорядочную и беспечную жизнь.;Человек;84;
КОНГРУЭНТНОСТЬ;Согласованность информации одновременно передоваемой человеком вербальным и невербальным способом.;Чувства;98;
ХО́РРОР;Ужас, крайняя форма страха.;Чувства;27;
БУЛИМИ́Я;Неукротимый аппетит.;Чувства;20;
СУФРАЖИ́СТКА;Феминистка.;Человек;11;
КАЙМА́Н;Крокодил.;Общая категория;9;
ГЕНЕ́ЗИС;Происхождение, возникновение, зарождение.;Образование;41;
УТРИ́РОВАТЬ;Преувеличивать.;Общая категория;15;
НЕГЛИЖЕ́;Полуодетый.;Общая категория;11;
ОРТОДОКСА́ЛЬНЫЙ;Непреклонный (правоверный).;Образование;27;
ПРОФА́Н;Невежда (дилетант, непрофессионал).;Человек;35;
ДИФФАМА́ЦИЯ;Клевета (сплетня).;Философия;18;
РАРИТЕ́Т;Редкость.;Общая категория;9;
ИНТОКСИКА́ЦИЯ;Отравление.;Медицина;11;
ПРЕТЕНЦИО́ЗНОСТЬ;Вычурность.;Общая категория;11;
АМБИЦИО́ЗНЫЙ;Высокомерный (тщеславный, притязательный, честолюбивый).;Человек;56;
ИНДИФФЕРЕ́НТНЫЙ;Безразличный (равнодушный, нейтральный).;Человек;40;
НОТА́ЦИЯ;Нравоучение.;Общая категория;12;
